NOTE:,For agents count higher than 15, montecarlo isnt generated


GAUSS_SEIDEL_MINUS14
liczba agentów,błąd bezwgledny(max),błąd bezwzględny(średnia),roznica do MonteCarlo,czas wykonania,ilość wykonań,
24,5.87114801220423E-11,3.0239971808449107E-12,0.0,588.98947839,200,
25,5.993548712890373E-11,3.337787252644001E-12,0.0,722.1782383299999,200,
26,5.6580851115484165E-11,2.8227611386365456E-12,0.0,895.4415225799999,200,
27,5.691666582485766E-11,3.0905788305150927E-12,0.0,1086.0395576599994,200,
28,5.4827864470752274E-11,2.6416359769202155E-12,0.0,1348.2643964150013,200,
29,5.7816335052862655E-11,2.707568295956461E-12,0.0,1659.573484705,200,
30,5.913930456458161E-11,2.764215417157572E-12,0.0,2318.800476679999,200,

GAUSS_SEIDEL_MINUS10
liczba agentów,błąd bezwgledny(max),błąd bezwzględny(średnia),roznica do MonteCarlo,czas wykonania,ilość wykonań,

3,0.0,0.0,1.2133333333322338E-4,0.15165702999999994,200,
4,6.004796659908607E-11,4.003197773272391E-12,2.11714274562442E-4,0.7121340449999994,200,
5,2.962605161194176E-11,4.232293170026139E-12,1.0150882444743859E-4,1.9597767950000002,200,
6,5.099243249873098E-11,2.5887108676918826E-12,7.74389292697124E-5,0.7448651100000002,200,
7,5.848996287305397E-11,5.297048751596678E-12,1.4902424813065917E-5,1.4131577699999989,200,
8,7.10114467228351E-11,3.956284516331957E-12,8.221812833113208E-5,2.6155909549999996,200,
9,5.013511827911543E-11,4.0095012823208075E-12,4.821205044361305E-6,4.48698809,200,
10,5.5071308624476956E-11,3.0835462044175055E-12,7.192788624487885E-5,7.46475312,200,
11,6.103545446833891E-11,4.4635649565289306E-12,6.21709483462038E-5,11.84562655500001,200,
12,6.075623337764569E-11,3.385771725233441E-12,1.4982881065472497E-5,18.509154874999997,200,
13,6.45629383289048E-11,4.433170721985383E-12,4.576103237918217E-5,27.083174300000007,200,
14,6.159223131518843E-11,3.4346328056409593E-12,6.153493478582908E-6,37.62638844000002,200,
15,6.425494858408598E-11,4.228636433070498E-12,5.258495715389506E-5,52.56596974999996,200,
