NOTE:,For agents count higher than 15, montecarlo isnt generated


JACOBIAN_MINUS10
liczba agentów,błąd bezwgledny(max),błąd bezwzględny(średnia),roznica do MonteCarlo,czas wykonania,ilość wykonań,
43,5.842236683040181E-7,2.5399081404978692E-8,0.0,9735.326629,1,
44,5.620968819702865E-7,2.2705996898579035E-8,0.0,10904.704907,1,
45,5.961742096660672E-7,2.5402899141872037E-8,0.0,12021.360985,1,
46,5.732642782557695E-7,2.279157176227506E-8,0.0,13621.193619,1,
47,5.670460778012254E-7,2.370494280627155E-8,0.0,18328.758049,1,
48,5.828473087221564E-7,2.2824076901112782E-8,0.0,18993.171115,1,
49,5.767454584748588E-7,2.3679826901963846E-8,0.0,19361.599213,1,
50,5.910371045081408E-7,2.2815866343584146E-8,0.0,22105.104893,1,

GAUSS_SEIDEL_MINUS10
liczba agentów,błąd bezwgledny(max),błąd bezwzględny(średnia),roznica do MonteCarlo,czas wykonania,ilość wykonań,

30,5.913930456458161E-11,2.764215417157559E-12,0.0,2093.801691,1,
31,5.822053950055306E-11,2.978450049361042E-12,0.0,2627.065794,1,
32,5.6835730566362486E-11,2.5877930880071704E-12,0.0,3875.12194,1,
33,5.612763032125656E-11,2.7757343110983433E-12,0.0,4135.112904,1,
34,6.011163788954832E-11,2.671420974796575E-12,0.0,3613.428898,1,
35,5.934745750391102E-11,2.846032035423482E-12,0.0,4246.648874,1,
36,5.7606919234842735E-11,2.504083617236227E-12,0.0,4711.905701,1,
37,5.701979166605753E-11,2.6593533059527696E-12,0.0,5372.717849,1,
38,6.016344367143489E-11,2.56340468068309E-12,0.0,6541.17651,1,
39,5.954324533430366E-11,2.708257177250698E-12,0.0,7997.144581,1,
40,5.7636756478629536E-11,2.409567950943008E-12,0.0,7904.552076,1,
41,5.7161483879575314E-11,2.5397345377871003E-12,0.0,10506.23187,1,
42,5.968030236669364E-11,2.4509823287482824E-12,0.0,11256.537444,1,
43,5.918419920813989E-11,2.5730306108626064E-12,0.0,12141.934795,1,
44,5.72211306115733E-11,2.3114548269674404E-12,0.0,14994.641666,1,
45,5.684264170469078E-11,2.4220574625035216E-12,0.0,15813.874007,1,
46,5.888926846164821E-11,2.3412933340849274E-12,0.0,17933.910267,1,
47,5.849681850023103E-11,2.4454162781466506E-12,0.0,22118.91443,1,
48,5.6540078174904806E-11,2.2140876495900005E-12,0.0,25375.553332,1,
49,5.996821095255456E-11,2.4621552760948565E-12,0.0,27061.998378,1,
50,5.7927135310720246E-11,2.236166792648299E-12,0.0,28341.261597,1,

GAUSS
